日期,星期,门诊收入,门诊环比,初诊,复诊,在院收入,在院环比,在院,入院,出院,出院第一次,出院多次,当日收入合计,当月累计收入,面板快照含此行
2026-09-01,二,8329.46,-8136.34,4,13,13695.01,-20181.64,28,2,0,0,0,22024.47,22024.47,是
2026-09-02,三,16747.27,8417.81,3,15,62605.0,48909.99,27,1,1,1,,79352.27,101376.74,是
2026-09-03,四,4710.35,-12036.92,0,14,35411.99,-27193.01,25,0,1,1,,40122.34,141499.08,是
2026-09-04,五,31464.5,26754.15,8,24,40703.93,5291.94,29,6,2,0,0,72168.43,213667.51,是
2026-09-05,六,15041.96,-16422.54,4,30,39769.7,-934.23,31,2,0,0,0,54811.66,268479.17,是
2026-09-06,日,140116.7,125074.74,9,92,43682.69,3912.99,30,3,3,1,,183799.39,452278.56,是
2026-09-07,一,20267.31,-119849.39,3,16,39148.42,-4534.27,30,4,4,0,,59415.73,511694.29,是
2026-09-08,二,21632.61,1365.3,3,20,36448.39,-2700.03,30,1,1,0,0,58081.0,569775.29,是
2026-09-09,三,17044.52,-4588.09,3,12,41666.05,5217.66,29,1,1,1,,58710.57,628485.86,是
2026-09-10,四,10042.88,-7001.64,1,12,36522.53,-5143.52,28,0,1,0,0,46565.41,675051.27,是
2026-09-11,五,9814.03,-228.85,3,17,38027.06,1504.53,30,2,0,0,0,47841.09,722892.36,是
2026-09-12,六,18029.88,8215.85,4,17,33831.37,-4195.69,30,0,0,0,0,51861.25,774753.61,是
2026-09-13,日,133002.16,114972.28,11,108,31013.81,-2817.56,27,4,4,3,,164015.97,938769.58,是
2026-09-14,一,20100.68,-112901.48,3,14,15521.66,-15492.15,24,1,3,1,,35622.34,974391.92,否
